Timestamp (GMT),Hours from Pitch,DO (mg/L),pH,Gravity (°P),Pressure (Bar),Fluid Temp (°C),Comp. Fluid Temp (°C),Ambient Temp (°C),Conductivity (uS/cm),Notes,Data Source,style_name
11/09/2024 05:52,18.87,0.28,4.95,12.5,0.08,21.9,22.256,22,1780,,BrewIQ,SHU Lager
11/09/2024 06:12,19.2,0.28,4.93,12.6,0.09,21.9,22.256,22,1778,,BrewIQ,SHU Lager
11/09/2024 06:32,19.53,0.28,4.96,12.5,0.09,22,22.356,22,1781,,BrewIQ,SHU Lager
11/09/2024 06:52,19.87,0.28,4.97,12.5,0.09,22,22.356,21,1778,,BrewIQ,SHU Lager
11/09/2024 07:12,20.2,0.28,4.97,12.6,0.08,22,22.356,21,1783,,BrewIQ,SHU Lager
11/09/2024 07:32,20.53,0.28,4.94,12.6,0.09,22,22.356,21,1785,,BrewIQ,SHU Lager
11/09/2024 07:52,20.87,0.28,4.93,12.5,0.09,22,22.356,21,1785,,BrewIQ,SHU Lager
11/09/2024 08:12,21.2,0.28,4.91,12.4,0.09,22,22.356,21,1785,,BrewIQ,SHU Lager
11/09/2024 08:32,21.53,0.28,4.92,12.5,0.08,22,22.356,21,1786,,BrewIQ,SHU Lager
11/09/2024 08:52,21.87,0.28,4.91,12.5,0.09,22,22.356,21,1787,,BrewIQ,SHU Lager
11/09/2024 09:12,22.2,0.28,4.93,12.5,0.08,22,22.356,21,1788,,BrewIQ,SHU Lager
11/09/2024 09:32,22.53,0.28,4.9,12.5,0.09,22.1,22.456,21,1789,,BrewIQ,SHU Lager
11/09/2024 09:52,22.87,0.28,4.94,12.5,0.09,22.1,22.456,21,1790,,BrewIQ,SHU Lager
11/09/2024 10:12,23.2,0.27,4.92,12.5,0.09,22.1,22.456,21,1788,,BrewIQ,SHU Lager
11/09/2024 10:32,23.53,0.27,4.92,12.4,0.08,22.1,22.456,22,1788,,BrewIQ,SHU Lager
11/09/2024 10:52,23.87,0.27,4.91,12.4,0.09,22.1,22.456,22,1787,,BrewIQ,SHU Lager
11/09/2024 11:12,24.2,0.27,4.92,12.4,0.09,22.2,22.556,22,1788,,BrewIQ,SHU Lager
11/09/2024 11:32,24.53,0.27,4.93,12.4,0.09,22.1,22.456,22,1790,,BrewIQ,SHU Lager
11/09/2024 11:52,24.87,0.27,4.93,12.3,0.09,22.2,22.556,22,1789,,BrewIQ,SHU Lager
11/09/2024 12:12,25.2,0.27,4.93,12.3,0.09,22.2,22.556,22,1787,,BrewIQ,SHU Lager
11/09/2024 12:32,25.53,0.27,4.9,12.3,0.09,22.2,22.556,22,1788,,BrewIQ,SHU Lager
11/09/2024 12:52,25.87,0.27,4.94,12.3,0.08,22.2,22.556,22,1787,,BrewIQ,SHU Lager
11/09/2024 13:12,26.2,0.28,4.9,12.3,0.09,21.8,22.156,22,1781,,BrewIQ,SHU Lager
11/09/2024 13:32,26.53,0.28,4.91,12.2,0.09,21.9,22.256,22,1792,,BrewIQ,SHU Lager
11/09/2024 13:52,26.87,0.28,4.93,12.2,0.09,21.9,22.256,22,1788,,BrewIQ,SHU Lager
11/09/2024 14:12,27.2,0.28,4.94,12.2,0.09,21.9,22.256,22,1789,,BrewIQ,SHU Lager
11/09/2024 14:32,27.53,0.28,4.92,12.1,0.08,21.9,22.256,22,1788,,BrewIQ,SHU Lager
11/09/2024 14:52,27.87,0.27,4.91,12.1,0.09,22,22.356,22,1791,,BrewIQ,SHU Lager
11/09/2024 15:12,28.2,0.27,4.91,12.1,0.09,22,22.356,22,1790,,BrewIQ,SHU Lager
