hours_from_pitch,plato,specific_gravity,fluid_temp,ph,conductivity,do,style_name
55.0,5.6,1.022,19.7,4.28,1936.0,1.61,Mixed-Culture 50
55.5,5.5,1.022,19.7,4.22,1932.0,1.61,Mixed-Culture 50
56.0,5.4,1.021,19.7,4.27,1923.0,1.55,Mixed-Culture 50
56.5,5.4,1.021,19.7,4.225,1915.5,1.545,Mixed-Culture 50
57.0,5.3,1.021,19.7,4.26,1909.0,1.6,Mixed-Culture 50
57.5,5.25,1.02,19.55,4.21,1894.5,1.575,Mixed-Culture 50
58.0,5.2,1.02,19.4,4.17,1888.0,1.56,Mixed-Culture 50
58.5,5.15,1.02,19.4,4.215,1882.0,1.515,Mixed-Culture 50
59.0,5.1,1.02,19.4,4.16,1871.0,1.53,Mixed-Culture 50
59.5,5.0,1.02,19.5,4.195,1861.0,1.57,Mixed-Culture 50
60.0,5.0,1.02,19.5,4.17,1855.0,1.57,Mixed-Culture 50
60.5,4.9,1.019,19.5,4.155,1840.5,1.57,Mixed-Culture 50
61.0,4.9,1.019,19.5,4.18,1826.0,1.5,Mixed-Culture 50
61.5,4.8,1.019,19.5,4.17,1814.0,1.525,Mixed-Culture 50
62.0,4.8,1.019,19.5,4.19,1802.0,1.58,Mixed-Culture 50
62.5,4.7,1.018,19.5,4.15,1792.5,1.505,Mixed-Culture 50
63.0,4.6,1.018,19.5,4.17,1782.0,1.55,Mixed-Culture 50
63.5,4.6,1.018,19.5,4.16,1767.0,1.495,Mixed-Culture 50
64.0,4.5,1.018,19.5,4.14,1757.0,1.51,Mixed-Culture 50
64.5,4.5,1.018,19.6,4.15,1737.0,1.46,Mixed-Culture 50
65.0,4.4,1.017,19.6,4.18,1718.0,1.48,Mixed-Culture 50
65.5,4.4,1.017,19.6,4.2,1705.5,1.485,Mixed-Culture 50
66.0,4.3,1.017,19.6,4.14,1692.0,1.42,Mixed-Culture 50
66.5,4.3,1.017,19.6,4.17,1675.0,1.54,Mixed-Culture 50
67.0,4.2,1.016,19.6,4.21,1664.0,1.44,Mixed-Culture 50
67.5,4.2,1.016,19.6,4.17,1650.0,1.53,Mixed-Culture 50
68.0,4.1,1.016,19.6,4.12,1631.0,1.47,Mixed-Culture 50
68.5,4.1,1.016,19.6,4.19,1611.5,1.46,Mixed-Culture 50
69.0,4.0,1.016,19.6,4.13,1599.0,1.5,Mixed-Culture 50
69.5,4.0,1.016,19.6,4.12,1582.5,1.515,Mixed-Culture 50
70.0,3.9,1.015,19.6,4.2,1569.0,1.57,Mixed-Culture 50
70.5,3.9,1.015,19.6,4.125,1559.5,1.52,Mixed-Culture 50
71.0,3.9,1.015,19.6,4.19,1550.0,1.52,Mixed-Culture 50
71.5,3.8,1.015,19.6,4.14,1542.5,1.525,Mixed-Culture 50
72.0,3.8,1.015,19.6,4.11,1530.0,1.53,Mixed-Culture 50
72.5,3.75,1.014,19.6,4.18,1518.5,1.515,Mixed-Culture 50
73.0,3.7,1.014,19.6,4.17,1510.0,1.48,Mixed-Culture 50
73.5,3.6,1.014,19.6,4.16,1499.0,1.555,Mixed-Culture 50
74.0,3.6,1.014,19.6,4.18,1490.0,1.57,Mixed-Culture 50
74.5,3.6,1.014,19.6,4.14,1486.5,1.545,Mixed-Culture 50
75.0,3.5,1.014,19.5,4.09,1484.0,1.5,Mixed-Culture 50
75.5,3.5,1.014,19.55,4.115,1479.0,1.545,Mixed-Culture 50
76.0,3.4,1.013,19.5,4.14,1476.0,1.47,Mixed-Culture 50
76.5,3.5,1.014,19.5,4.14,1481.0,1.51,Mixed-Culture 50
77.0,3.4,1.013,19.5,4.11,1482.0,1.54,Mixed-Culture 50
77.5,3.4,1.013,19.5,4.14,1489.5,1.5,Mixed-Culture 50
78.0,3.3,1.013,19.4,4.15,1492.0,1.51,Mixed-Culture 50
78.5,3.3,1.013,19.5,4.135,1500.0,1.54,Mixed-Culture 50
79.0,3.3,1.013,19.5,4.18,1505.0,1.49,Mixed-Culture 50
79.5,3.3,1.013,19.4,4.085,1506.0,1.47,Mixed-Culture 50
80.0,3.2,1.013,19.4,4.1,1512.0,1.49,Mixed-Culture 50
80.5,3.2,1.013,19.4,4.12,1509.5,1.495,Mixed-Culture 50
81.0,3.2,1.013,19.3,4.09,1510.0,1.6,Mixed-Culture 50
81.5,3.15,1.012,19.3,4.12,1510.0,1.545,Mixed-Culture 50
82.0,3.2,1.013,19.3,4.09,1514.0,1.51,Mixed-Culture 50
82.5,3.15,1.012,19.3,4.165,1516.0,1.495,Mixed-Culture 50
83.0,3.1,1.012,19.3,4.08,1518.0,1.46,Mixed-Culture 50
83.5,3.35,1.013,19.25,4.155,1517.5,1.485,Mixed-Culture 50
84.0,3.1,1.012,19.2,4.12,1517.0,1.47,Mixed-Culture 50
84.5,3.05,1.012,19.2,4.155,1517.0,1.5,Mixed-Culture 50
85.0,3.1,1.012,19.2,4.14,1519.0,1.44,Mixed-Culture 50
